building_id,damage_grade,prediction
204509000391,Grade 4,0.0
204509000431,Grade 4,0.0
204509000441,Grade 3,0.0
204509000511,Grade 4,0.0
204601000011,Grade 2,1.0
204601000041,Grade 2,4.0
204601000151,Grade 3,4.0
204601000181,Grade 4,4.0
204601000201,Grade 3,1.0
204601000271,Grade 3,4.0
204601000301,Grade 3,1.0
204601000371,Grade 2,4.0
204601000381,Grade 2,4.0
204601000411,Grade 2,4.0
204601000412,Grade 3,0.0
204601000491,Grade 3,4.0
204601000601,Grade 2,4.0
204601000661,Grade 3,4.0
204601000791,Grade 3,1.0
204601000811,Grade 4,1.0
204601000991,Grade 3,0.0
204601001001,Grade 3,1.0
204601001011,Grade 2,1.0
204601001031,Grade 3,1.0
204601001041,Grade 3,0.0
204601001051,Grade 4,1.0
204601001121,Grade 3,0.0
204601001191,Grade 2,4.0
204601001341,Grade 2,4.0
204601001371,Grade 3,1.0
204601001422,Grade 5,0.0
204601001431,Grade 2,4.0
204601001511,Grade 3,4.0
204601001531,Grade 2,4.0
204601001571,Grade 4,4.0
204601001581,Grade 4,4.0
204601001631,Grade 2,4.0
204601001681,Grade 4,4.0
204601001791,Grade 3,4.0
204601001801,Grade 5,0.0
204601001811,Grade 4,4.0
204601001831,Grade 3,4.0
204601001921,Grade 3,0.0
204601002021,Grade 3,1.0
204601002081,Grade 2,4.0
204601002101,Grade 3,0.0
204601002201,Grade 3,1.0
204601002221,Grade 1,4.0
204601002321,Grade 4,0.0
204601002331,Grade 4,4.0
204601002381,Grade 4,4.0
204601002441,Grade 2,4.0
204601002471,Grade 3,1.0
204601002501,Grade 4,4.0
204601002521,Grade 4,4.0
204601002691,Grade 2,4.0
204601002731,Grade 2,4.0
204601002751,Grade 4,1.0
204601002761,Grade 4,0.0
204601002811,Grade 2,4.0
204601002821,Grade 2,0.0
204601002851,Grade 2,4.0
204602000021,Grade 4,4.0
204602000041,Grade 5,0.0
204602000051,Grade 3,4.0
204602000101,Grade 3,1.0
204602000111,Grade 5,0.0
204602000171,Grade 2,4.0
204602000181,Grade 2,4.0
204602000201,Grade 3,1.0
204602000232,Grade 2,4.0
204602000321,Grade 3,4.0
204602000341,Grade 4,0.0
204602000431,Grade 2,4.0
204602000471,Grade 2,4.0
204602000561,Grade 3,4.0
204602000601,Grade 2,1.0
204602000641,Grade 4,1.0
204602000661,Grade 2,1.0
204602000691,Grade 5,0.0
204602000721,Grade 4,1.0
204602000761,Grade 3,4.0
204602000822,Grade 3,4.0
204602000831,Grade 4,2.0
204602000881,Grade 2,0.0
204602000891,Grade 4,0.0
204602000901,Grade 2,0.0
204603000011,Grade 3,4.0
204603000021,Grade 2,4.0
204603000051,Grade 3,1.0
204603000091,Grade 4,2.0
204603000101,Grade 2,4.0
204603000131,Grade 3,4.0
204603000161,Grade 3,2.0
204603000191,Grade 3,4.0
204603000201,Grade 2,2.0
204603000261,Grade 4,4.0
204603000271,Grade 3,1.0
204603000321,Grade 3,2.0
204603000341,Grade 3,4.0
204603000431,Grade 3,1.0
204603000461,Grade 3,2.0
204603000521,Grade 3,2.0
204603000551,Grade 3,1.0
204603000561,Grade 3,4.0
204603000581,Grade 4,4.0
