building_id,cluster,damage_numeric,damage_grade
222407010771,0,3.0,Grade 3
222407010781,0,3.0,Grade 3
222407010791,0,5.0,Grade 5
222407010801,0,5.0,Grade 5
222407010811,0,2.0,Grade 2
222407010821,0,3.0,Grade 3
222407010831,0,4.0,Grade 4
222407010841,0,5.0,Grade 5
222407010851,0,3.0,Grade 3
222407010861,0,4.0,Grade 4
222407010871,0,5.0,Grade 5
222407010881,0,3.0,Grade 3
222407010891,0,2.0,Grade 2
222407010901,0,2.0,Grade 2
222407010911,0,4.0,Grade 4
222407010921,0,5.0,Grade 5
222407010931,0,4.0,Grade 4
222407010941,0,1.0,Grade 1
222407010951,0,1.0,Grade 1
222407010961,0,1.0,Grade 1
222407010971,0,3.0,Grade 3
222407010981,0,3.0,Grade 3
222407010991,0,3.0,Grade 3
222407011001,0,3.0,Grade 3
222407011011,0,5.0,Grade 5
222407011021,0,5.0,Grade 5
222407011031,0,1.0,Grade 1
222407011041,0,1.0,Grade 1
222407011051,0,1.0,Grade 1
222407011061,0,1.0,Grade 1
222407011071,0,4.0,Grade 4
222407011081,0,5.0,Grade 5
222407011091,0,5.0,Grade 5
222407011101,0,3.0,Grade 3
222407011111,0,4.0,Grade 4
222407011121,0,3.0,Grade 3
222407011131,0,3.0,Grade 3
222407011141,0,2.0,Grade 2
222407011151,0,2.0,Grade 2
222407011161,0,1.0,Grade 1
222407011171,0,1.0,Grade 1
222407011181,0,1.0,Grade 1
222407011191,0,4.0,Grade 4
222407011201,0,4.0,Grade 4
222407011211,0,2.0,Grade 2
222407011221,0,2.0,Grade 2
222407011231,0,3.0,Grade 3
222407011241,0,2.0,Grade 2
222407011251,0,2.0,Grade 2
222407011261,0,1.0,Grade 1
222407011271,0,4.0,Grade 4
222407011281,0,5.0,Grade 5
222407011291,0,5.0,Grade 5
222407011301,0,5.0,Grade 5
222407011311,0,4.0,Grade 4
222407011321,0,4.0,Grade 4
222407011322,0,2.0,Grade 2
222407011331,0,4.0,Grade 4
222407011341,0,4.0,Grade 4
222407011351,0,4.0,Grade 4
222407011361,0,4.0,Grade 4
222407011371,0,4.0,Grade 4
222407011381,0,4.0,Grade 4
222407011391,0,5.0,Grade 5
222407011401,0,4.0,Grade 4
222407011411,0,4.0,Grade 4
222407011421,0,5.0,Grade 5
222407011422,0,2.0,Grade 2
222407011431,0,1.0,Grade 1
222407011441,0,1.0,Grade 1
222407011451,0,1.0,Grade 1
222407011461,0,4.0,Grade 4
222407011471,0,4.0,Grade 4
222407011481,0,2.0,Grade 2
222407011491,0,1.0,Grade 1
222407011501,0,1.0,Grade 1
222407011511,0,2.0,Grade 2
222407011521,0,1.0,Grade 1
222407011531,0,1.0,Grade 1
222407011541,0,1.0,Grade 1
222407011551,0,1.0,Grade 1
222407011561,0,2.0,Grade 2
222407011571,0,5.0,Grade 5
222407020611,0,5.0,Grade 5
222407011581,0,4.0,Grade 4
222407011591,0,1.0,Grade 1
222407011601,0,1.0,Grade 1
222407011611,0,1.0,Grade 1
222407011621,0,1.0,Grade 1
222407011631,0,1.0,Grade 1
222407011641,0,1.0,Grade 1
222407011651,0,3.0,Grade 3
222407011661,0,4.0,Grade 4
222407011671,0,4.0,Grade 4
222407011681,0,5.0,Grade 5
222407011691,0,5.0,Grade 5
222407011701,0,2.0,Grade 2
222407011711,0,4.0,Grade 4
222407011721,0,4.0,Grade 4
222407011731,0,3.0,Grade 3
222407011741,0,4.0,Grade 4
222407011751,0,4.0,Grade 4
222407011761,0,3.0,Grade 3
222407011771,0,1.0,Grade 1
222407011791,0,1.0,Grade 1
222407020621,0,5.0,Grade 5
222407011801,0,4.0,Grade 4
222407020011,0,4.0,Grade 4
222407020021,0,5.0,Grade 5
222407020031,0,4.0,Grade 4
222407020041,0,5.0,Grade 5
222407020051,0,4.0,Grade 4
222407020061,0,4.0,Grade 4
222407020071,0,4.0,Grade 4
222407020081,0,5.0,Grade 5
222407020091,0,5.0,Grade 5
222407020092,0,4.0,Grade 4
222407020101,0,5.0,Grade 5
222407020111,0,5.0,Grade 5
222407020121,0,4.0,Grade 4
222407020131,0,5.0,Grade 5
222407020141,0,4.0,Grade 4
222407020142,0,2.0,Grade 2
222407020151,0,4.0,Grade 4
222407020152,0,5.0,Grade 5
222407020153,0,5.0,Grade 5
222407020161,0,4.0,Grade 4
222407020171,0,5.0,Grade 5
222407020181,0,5.0,Grade 5
222407020191,0,5.0,Grade 5
222407020201,0,4.0,Grade 4
222407020211,0,4.0,Grade 4
222407020221,0,5.0,Grade 5
222407020231,0,5.0,Grade 5
222407020241,0,4.0,Grade 4
222407020251,0,5.0,Grade 5
222407020261,0,5.0,Grade 5
222407020271,0,5.0,Grade 5
222407020281,0,5.0,Grade 5
222407020291,0,4.0,Grade 4
222407020301,0,2.0,Grade 2
222407020311,0,3.0,Grade 3
222407020321,0,5.0,Grade 5
222407020331,0,4.0,Grade 4
222407020341,0,4.0,Grade 4
222407020342,0,5.0,Grade 5
222407020351,0,3.0,Grade 3
222407020361,0,5.0,Grade 5
222407020371,0,4.0,Grade 4
222407020381,0,5.0,Grade 5
222407020391,0,5.0,Grade 5
222407020631,0,5.0,Grade 5
222407020401,0,4.0,Grade 4
222407020402,0,3.0,Grade 3
222407020411,0,5.0,Grade 5
222407020421,0,4.0,Grade 4
222407020431,0,5.0,Grade 5
222407020441,0,5.0,Grade 5
222407020451,0,4.0,Grade 4
222407020461,0,2.0,Grade 2
222407020471,0,3.0,Grade 3
222407020481,0,4.0,Grade 4
222407020491,0,4.0,Grade 4
222407020501,0,4.0,Grade 4
222407020511,0,4.0,Grade 4
222407020521,0,5.0,Grade 5
222407020531,0,4.0,Grade 4
222407020541,0,5.0,Grade 5
222407020551,0,5.0,Grade 5
222407020561,0,3.0,Grade 3
222407020571,0,4.0,Grade 4
222407020581,0,5.0,Grade 5
222407020591,0,5.0,Grade 5
